name,type,type_en
Kinh,Việt - Mường,Vietic
Chứt,Việt - Mường,Vietic
Mường,Việt - Mường,Vietic
Thổ,Việt - Mường,Vietic
Ba Na,Môn - Khmer,Austroasiatic
Brâu,Môn - Khmer,Austroasiatic
Bru,Môn - Khmer,Austroasiatic
Chơ Ro,Môn - Khmer,Austroasiatic
Co,Môn - Khmer,Austroasiatic
Cờ Ho,Môn - Khmer,Austroasiatic
Cơ Tu,Môn - Khmer,Austroasiatic
Giẻ Triêng,Môn - Khmer,Austroasiatic
Hrê,Môn - Khmer,Austroasiatic
Kháng,Môn - Khmer,Austroasiatic
Khmer,Môn - Khmer,Austroasiatic
Khơ Mú,Môn - Khmer,Austroasiatic
Mạ,Môn - Khmer,Austroasiatic
Mảng,Môn - Khmer,Austroasiatic
Mnông,Môn - Khmer,Austroasiatic
Ơ Đu,Môn - Khmer,Austroasiatic
Rơ Măm,Môn - Khmer,Austroasiatic
Tà Ôi,Môn - Khmer,Austroasiatic
Xinh Mun,Môn - Khmer,Austroasiatic
Xơ Đăng,Môn - Khmer,Austroasiatic
X’Tiêng,Môn - Khmer,Austroasiatic
Bố Y,Tày - Thái,Tai-Kadai (Tai)
Giáy,Tày - Thái,Tai-Kadai (Tai)
Lào,Tày - Thái,Tai-Kadai (Tai)
Lự,Tày - Thái,Tai-Kadai (Tai)
Nùng,Tày - Thái,Tai-Kadai (Tai)
Sán Chay,Tày - Thái,Tai-Kadai (Tai)
Tày,Tày - Thái,Tai-Kadai (Tai)
Thái,Tày - Thái,Tai-Kadai (Tai)
Cờ Lao,Kadai,Tai-Kadai (Kra)
La Chí,Kadai,Tai-Kadai (Kra)
La Ha,Kadai,Tai-Kadai (Kra)
Pu Péo,Kadai,Tai-Kadai (Kra)
Dao,H'Mông - Dao,Hmong-Mien
Hmong,H'Mông - Dao,Hmong-Mien
Pà Thẻn,H'Mông - Dao,Hmong-Mien
Chăm,Nam đảo,Malayo-Polynesian
Chu Ru,Nam đảo,Malayo-Polynesian
Ê Đê,Nam đảo,Malayo-Polynesian
Gia Rai,Nam đảo,Malayo-Polynesian
Ra Glai,Nam đảo,Malayo-Polynesian
Hoa,Hán,Chinese
Ngái,Hán,Chinese
Sán Dìu,Hán,Chinese
Phunoi,Tạng-Miến,Sino-Tibetan
Hà Nhì,Tạng-Miến,Sino-Tibetan
La Hủ,Tạng-Miến,Sino-Tibetan
Lô Lô,Tạng-Miến,Sino-Tibetan
Phù Lá,Tạng-Miến,Sino-Tibetan
Si La,Tạng-Miến,Sino-Tibetan