"province_id","province","district_id","name","code","type","support_type"
266,"Sơn La",2032,"Huyện Thuận Châu","1404",3,3
211,"Long An",2031,"Huyện Thủ Thừa","4909",2,3
216,"Đồng Tháp",2030,"Huyện Tháp Mười","5009",3,3
229,"Phú Thọ",2029,"Huyện Thanh Sơn","1508",3,3
213,"Bến Tre",2028,"Huyện Thạnh Phú","5608",3,3
232,"Hà Nam",2027,"Huyện Thanh Liêm","2405",2,3
216,"Đồng Tháp",2026,"Huyện Thanh Bình","5006",3,3
264,"Lai Châu",2025,"Huyện Than Uyên","0706",3,3
236,"Hà Tĩnh",2024,"Huyện Thạch Hà","3008",2,3
262,"Bình Định",2023,"Huyện Tuy Phước","3711",2,3
265,"Điện Biên",2022,"Huyện Tuần Giáo","6204",3,3
265,"Điện Biên",2021,"Huyện Tủa Chùa","6206",3,3
214,"Trà Vinh",2020,"Huyện Tiểu Cần","5804",3,3
230,"Quảng Ninh",2019,"Huyện Tiên Yên","1708",3,3
268,"Hưng Yên",2018,"Huyện Tiên Lữ","2206",2,3
264,"Lai Châu",2017,"Huyện Tân Uyên","0707",3,3
211,"Long An",2016,"Huyện Tân Trụ","4911",2,3
229,"Phú Thọ",2015,"Huyện Tân Sơn","1513",3,3
267,"Hòa Bình",2014,"Huyện Tân Lạc","2304",3,3
216,"Đồng Tháp",2013,"Huyện Tân Hồng","5003",3,3
258,"Bình Thuận",2012,"Huyện Tánh Linh","4708",3,3
216,"Đồng Tháp",2011,"Huyện Tam Nông","5005",3,3
264,"Lai Châu",2010,"Huyện Tam Đường","0702",3,3
221,"Vĩnh Phúc",2009,"Huyện Tam Dương","1602",2,3
215,"Vĩnh Long",2008,"Huyện Tam Bình","5705",3,3
266,"Sơn La",2007,"Huyện Sông Mã","1409",3,3
264,"Lai Châu",2006,"Huyện Sìn Hồ","0704",3,3
269,"Lào Cai",2005,"Huyện Sa Pa","0805",3,3
201,"Hà Nội",2004,"Huyện Quốc Oai","1B20",3,3
243,"Quảng Nam",2003,"Huyện Quế Sơn","3406",3,3
237,"Quảng Bình",2002,"Huyện Quảng Ninh","3106",2,3
227,"Hà Giang",2001,"Huyện Quang Bình","0511",3,3
234,"Thanh Hóa",2000,"Huyện Quan Sơn","2805",3,3
227,"Hà Giang",1999,"Huyện Quản Bạ","0505",3,3
253,"Bạc Liêu",1998,"Huyện Phước Long","6005",3,3
246,"Cao Bằng",1997,"Huyện Phục Hòa","0613",3,3
266,"Sơn La",1996,"Huyện Phù Yên","1406",3,3
243,"Quảng Nam",1995,"Huyện Phú Ninh","3417",2,3
229,"Phú Thọ",1994,"Huyện Phù Ninh","1509",3,3
260,"Phú Yên",1993,"Huyện Phú Hòa","3908",2,3
205,"Bình Dương",1992,"Huyện Phú Giáo","4406",3,3
244,"Thái Nguyên",1991,"Huyện Phú Bình","1208",3,3
244,"Thái Nguyên",1990,"Huyện Phổ Yên","1209",3,3
264,"Lai Châu",1989,"Huyện Phong Thổ","0703",3,3
242,"Quảng Ngãi",1988,"Huyện Nghĩa Hành","3508",2,3
243,"Quảng Nam",1987,"Huyện Núi Thành","3409",3,3
261,"Ninh Thuận",1986,"Huyện Ninh Phước","4504",2,3
261,"Ninh Thuận",1985,"Huyện Ninh Hải","4503",2,3
264,"Lai Châu",1984,"Huyện Nậm Nhùn","0708",3,3
231,"Nam Định",1983,"Huyện Nam Trực","2507",2,3
228,"Tuyên Quang",1982,"Huyện Na Hang","0903",3,3
231,"Nam Định",1981,"Huyện Mỹ Lộc","2502",2,3
264,"Lai Châu",1980,"Huyện Mường Tè","0705",3,3
265,"Điện Biên",1979,"Huyện Mường Nhé","6208",3,3
265,"Điện Biên",1978,"Huyện Mường Chà","6205",3,3
263,"Yên Bái",1977,"Huyện Mù Cang Chải","1305",3,3
266,"Sơn La",1976,"Huyện Mộc Châu","1410",3,3
213,"Bến Tre",1975,"Huyện Mỏ Cày Nam","5609",2,3
213,"Bến Tre",1974,"Huyện Mỏ Cày Bắc","5604",2,3
227,"Hà Giang",1973,"Huyện Mèo Vạc","0503",3,3
266,"Sơn La",1971,"Huyện Mai Sơn","1407",3,3
232,"Hà Nam",1970,"Huyện Lý Nhân","2404",2,3
249,"Bắc Ninh",1969,"Huyện Lương Tài","1908",3,3
267,"Hòa Bình",1968,"Huyện Lương Sơn","2307",3,3
263,"Yên Bái",1967,"Huyện Lục Yên","1309",3,3
248,"Bắc Giang",1966,"Huyện Lục Ngạn","1803",3,3
248,"Bắc Giang",1965,"Huyện Lục Nam","1805",2,3
239,"Bình Phước",1964,"Huyện Lộc Ninh","4305",3,3
247,"Lạng Sơn",1963,"Huyện Lộc Bình","1008",2,3
215,"Vĩnh Long",1962,"Huyện Long Hồ","5702",2,3
216,"Đồng Tháp",1961,"Huyện Lấp Vò","5008",3,3
221,"Vĩnh Phúc",1960,"Huyện Lập Thạch","1603",3,3
229,"Phú Thọ",1959,"Huyện Lâm Thao","1510",2,3
209,"Lâm Đồng",1958,"Huyện Lâm Hà","4210",3,3
228,"Tuyên Quang",1957,"Huyện Lâm Bình","0902",3,3
209,"Lâm Đồng",1956,"Huyện Lạc Dương","4206",2,3
267,"Hòa Bình",1955,"Huyện Kỳ Sơn","2306",2,3
210,"Đắk Lắk",1954,"Huyện Krông Pắc","4007",3,3
225,"Hải Dương",1953,"Huyện Kim Thành","2111",3,3
232,"Hà Nam",1952,"Huyện Kim Bảng","2403",2,3
226,"Thái Bình",1951,"Huyện Kiến Xương","2606",2,3
219,"Kiên Giang",1950,"Huyện Kiên Lương","5403",3,3
218,"Sóc Trăng",1949,"Huyện Kế Sách","5902",3,3
247,"Lạng Sơn",1948,"Huyện Hữu Lũng","1011",3,3
235,"Nghệ An",1947,"Huyện Hưng Nguyên","2918",2,3
253,"Bạc Liêu",1946,"Huyện Hồng Dân","6003",3,3
227,"Hà Giang",1945,"Huyện Hoàng Su Phì","0508",3,3
233,"Ninh Bình",1944,"Huyện Hoa Lư","2705",2,3
246,"Cao Bằng",1943,"Huyện Hòa An","0608",3,3
234,"Thanh Hóa",1942,"Huyện Hậu Lộc","2824",3,3
228,"Tuyên Quang",1941,"Huyện Hàm Yên","0905",3,3
230,"Quảng Ninh",1940,"Huyện Hải Hà","1707",3,3
246,"Cao Bằng",1939,"Huyện Hà Quảng","0604",3,3
229,"Phú Thọ",1938,"Huyện Hạ Hòa","1505",3,3
213,"Bến Tre",1937,"Huyện Giồng Trôm","5605",2,3
238,"Quảng Trị",1936,"Huyện Gio Linh","3204",2,3
253,"Bạc Liêu",1935,"Huyện Giá Rai","6004",3,3
225,"Hải Dương",1934,"Huyện Gia Lộc","2105",2,3
212,"Tiền Giang",1933,"Huyện Gò Công Tây","5307",2,3
212,"Tiền Giang",1932,"Huyện Gò Công Đông","5308",3,3
210,"Đắk Lắk",1931,"Huyện Ea Kar","4008",3,3
242,"Quảng Ngãi",1930,"Huyện Đức Phổ","3511",3,3
211,"Long An",1929,"Huyện Đức Hòa","4907",3,3
227,"Hà Giang",1928,"Huyện Đồng Văn","0502",3,3
234,"Thanh Hóa",1927,"Huyện Đông Sơn","2820",2,3
253,"Bạc Liêu",1926,"Huyện Đông Hải","6006",3,3
229,"Phú Thọ",1925,"Huyện Đoan Hùng","1503",3,3
244,"Thái Nguyên",1924,"Huyện Định Hóa","1203",3,3
265,"Điện Biên",1923,"Huyện Điện Biên","6203",3,3
252,"Cà Mau",1922,"Huyện Đầm Dơi","6106",3,3
259,"Kon Tum",1921,"Huyện Đắk Glei","3602",3,3
230,"Quảng Ninh",1920,"Huyện đảo Vân Đồn","1713",3,3
209,"Lâm Đồng",1919,"Huyện Đam Rông","4212",3,3
244,"Thái Nguyên",1918,"Huyện Đại Từ","1206",3,3
243,"Quảng Nam",1917,"Huyện Đại Lộc","3405",3,3
267,"Hòa Bình",1916,"Huyện Đà Bắc","2302",2,3
201,"Hà Nội",1915,"Huyện Chương Mỹ","1B21",3,3
245,"Bắc Kạn",1914,"Huyện Chợ Mới","1107",3,3
245,"Bắc Kạn",1913,"Huyện Chợ Đồn","1102",3,3
250,"Hậu Giang",1912,"Huyện Châu Thành A","6406",3,3
214,"Trà Vinh",1911,"Huyện Châu Thành","5805",2,3
218,"Sóc Trăng",1910,"Huyện Châu Thành","5910",2,3
211,"Long An",1909,"Huyện Châu Thành","4910",2,3
214,"Trà Vinh",1908,"Huyện Cầu Ngang","5807",3,3
211,"Long An",1907,"Huyện Cần Giuộc","4913",3,3
211,"Long An",1906,"Huyện Cần Đước","4912",3,3
229,"Phú Thọ",1905,"Huyện Cẩm Khê","1506",3,3
247,"Lạng Sơn",1904,"Huyện Cao Lộc","1007",2,3
238,"Quảng Trị",1903,"Huyện Cam Lộ","3205",2,3
208,"Khánh Hòa",1902,"Huyện Cam Lâm","4109",3,3
252,"Cà Mau",1901,"Huyện Cái Nước","6105",3,3
212,"Tiền Giang",1900,"Huyện Cái Bè","5303",3,3
239,"Bình Phước",1899,"Huyện Bù Đăng","4308",3,3
242,"Quảng Ngãi",1898,"Huyện Bình Sơn","3503",3,3
232,"Hà Nam",1897,"Huyện Bình Lục","2406",2,3
230,"Quảng Ninh",1896,"Huyện Bình Liêu","1705",3,3
213,"Bến Tre",1895,"Huyện Bình Đại","5606",3,3
211,"Long An",1894,"Huyện Bến Lức","4908",2,3
227,"Hà Giang",1893,"Huyện Bắc Quang","0510",3,3
269,"Lào Cai",1892,"Huyện Bắc Hà","0808",3,3
269,"Lào Cai",1891,"Huyện Bảo Yên","0807",3,3
246,"Cao Bằng",1890,"Huyện Bảo Lâm","0612",3,3
245,"Bắc Kạn",1889,"Huyện Bạch Thông","1103",3,3
213,"Bến Tre",1888,"Huyện Ba Tri","5607",3,3
245,"Bắc Kạn",1887,"Huyện Ba Bể","1106",3,3
262,"Bình Định",1886,"Huyện An Lão","3702",3,3
223,"Thừa Thiên - Huế",1885,"Huyện A Lưới","3309",3,3
210,"Đắk Lắk",1884,"Huyện Krông Ana","4010",3,3
252,"Cà Mau",1883,"Huyện Phú Tân","6109",3,3
223,"Thừa Thiên - Huế",1882,"Huyện Phú Lộc","3307",3,3
234,"Thanh Hóa",1881,"Huyện Vĩnh Lộc","2816",3,3
234,"Thanh Hóa",1880,"Huyện Thạch Thành","2813",3,3
234,"Thanh Hóa",1879,"Huyện Quan Hóa","2804",3,3
234,"Thanh Hóa",1878,"Huyện Mường Lát","2806",3,3
234,"Thanh Hóa",1877,"Huyện Hà Trung","2821",2,3
234,"Thanh Hóa",1876,"Thị xã Bỉm Sơn","2802",3,3
234,"Thanh Hóa",1875,"Huyện Yên Định","2827",3,3
234,"Thanh Hóa",1874,"Huyện Ngọc Lặc","2812",3,3
234,"Thanh Hóa",1873,"Huyện Thọ Xuân","2815",3,3
234,"Thanh Hóa",1872,"Huyện Thường Xuân","2808",3,3
234,"Thanh Hóa",1871,"Huyện Như Xuân","2809",3,3
234,"Thanh Hóa",1870,"Huyện Tĩnh Gia","2826",3,3
226,"Thái Bình",1869,"Huyện Thái Thụy","2608",2,3
226,"Thái Bình",1868,"Huyện Quỳnh Phụ","2602",3,3
226,"Thái Bình",1867,"Huyện Hưng Hà","2603",3,3
240,"Tây Ninh",1866,"Huyện Gò Dầu","4608",3,3
240,"Tây Ninh",1865,"Huyện Bến Cầu","4607",3,3
240,"Tây Ninh",1864,"Huyện Dương Minh Châu","4604",2,3
240,"Tây Ninh",1863,"Huyện Tân Châu","4603",3,3
240,"Tây Ninh",1862,"Huyện Tân Biên","4602",3,3
238,"Quảng Trị",1861,"Huyện Vĩnh Linh","3203",3,3
238,"Quảng Trị",1860,"Huyện Hướng Hóa","3208",3,3
237,"Quảng Bình",1859,"Thị xã Ba Đồn","3108",3,3
237,"Quảng Bình",1858,"Huyện Bố Trạch","3105",2,3
237,"Quảng Bình",1857,"Huyện Lệ Thủy","3107",3,3
260,"Phú Yên",1856,"Thị Xã Sông Cầu","3903",3,3
261,"Ninh Thuận",1855,"Huyện Ninh Sơn","4502",3,3
235,"Nghệ An",1854,"Huyện Nghi Lộc","2916",2,3
235,"Nghệ An",1853,"Huyện Con Cuông","2909",3,3
235,"Nghệ An",1852,"Huyện Quỳ Hợp","2904",3,3
235,"Nghệ An",1851,"Huyện Nghĩa Đàn","2905",3,3
235,"Nghệ An",1850,"Thị xã Thái Hòa","2920",3,3
235,"Nghệ An",1849,"Thị xã Hoàng Mai","2921",3,3
235,"Nghệ An",1848,"Huyện Quỳnh Lưu","2906",3,3
235,"Nghệ An",1847,"Huyện Diễn Châu","2912",3,3
235,"Nghệ An",1846,"Huyện Yên Thành","2911",3,3
235,"Nghệ An",1845,"Huyện Tân Kỳ","2910",3,3
235,"Nghệ An",1844,"Huyện Anh Sơn","2913",3,3
235,"Nghệ An",1843,"Huyện Đô Lương","2914",3,3
235,"Nghệ An",1842,"Thị xã Cửa Lò","2902",2,3
231,"Nam Định",1841,"Huyện Ý Yên","2505",3,3
231,"Nam Định",1840,"Huyện Hải Hậu","2510",3,3
209,"Lâm Đồng",1839,"Huyện Bảo Lâm","4211",3,3
209,"Lâm Đồng",1838,"Thành phố Bảo Lộc","4202",1,3
209,"Lâm Đồng",1837,"Huyện Đức Trọng","4203",3,3
209,"Lâm Đồng",1836,"Huyện Đơn Dương","4205",3,3
259,"Kon Tum",1835,"Huyện Đắk Hà","3607",3,3
259,"Kon Tum",1834,"Huyện Kon Plông","3606",3,3
219,"Kiên Giang",1833,"Huyện An Biên","5409",3,3
219,"Kiên Giang",1832,"Huyện Giồng Riềng","5407",3,3
219,"Kiên Giang",1831,"Huyện Tân Hiệp","5405",3,3
219,"Kiên Giang",1830,"Huyện Hòn Đất","5404",3,3
208,"Khánh Hòa",1829,"Huyện Vạn Ninh","4102",3,3
268,"Hưng Yên",1828,"Huyện Yên Mỹ","2205",3,3
268,"Hưng Yên",1827,"Huyện Mỹ Hào","2208",3,3
268,"Hưng Yên",1826,"Huyện Khoái Châu","2204",3,3
268,"Hưng Yên",1825,"Huyện Ân Thi","2203",3,3
250,"Hậu Giang",1824,"Huyện Phụng Hiệp","6404",3,3
250,"Hậu Giang",1823,"Thị xã Ngã Bảy","6407",3,3
224,"Hải Phòng",1822,"Huyện Vĩnh Bảo","0312",3,3
224,"Hải Phòng",1821,"Huyện Tiên Lãng","0311",3,3
224,"Hải Phòng",1820,"Huyện An Lão","0307",3,3
224,"Hải Phòng",1819,"Huyện An Dương","0310",2,3
225,"Hải Dương",1818,"Huyện Kinh Môn","2104",3,3
225,"Hải Dương",1817,"Huyện Cẩm Giàng","2109",2,3
225,"Hải Dương",1816,"Huyện Bình Giang","2112",2,3
236,"Hà Tĩnh",1815,"Huyện Cẩm Xuyên","3009",2,3
236,"Hà Tĩnh",1814,"Thị xã Hồng Lĩnh","3002",3,3
236,"Hà Tĩnh",1813,"Huyện Nghi Xuân","3005",3,3
236,"Hà Tĩnh",1812,"Huyện Hương Khê","3007",3,3
236,"Hà Tĩnh",1811,"Huyện Kỳ Anh","3010",3,3
201,"Hà Nội",1810,"Huyện Ứng Hòa","1B26",3,3
201,"Hà Nội",1809,"Huyện Thanh Oai","1B24",3,3
201,"Hà Nội",1808,"Huyện Thạch Thất","1B19",3,3
201,"Hà Nội",1807,"Huyện Phúc Thọ","1B18",3,3
201,"Hà Nội",1806,"Huyện Mỹ Đức","1B25",3,3
201,"Hà Nội",1805,"Huyện Hoài Đức","1B23",3,3
201,"Hà Nội",1804,"Huyện Đan Phượng","1B22",3,3
201,"Hà Nội",1803,"Huyện Ba Vì","1B17",3,3
232,"Hà Nam",1802,"Huyện Duy Tiên","2402",2,3
207,"Gia Lai",1801,"Huyện Chư Păh","3802",2,3
207,"Gia Lai",1800,"Thị xã An Khê","3805",3,3
207,"Gia Lai",1799,"Huyện Ia Pa","3814",3,3
207,"Gia Lai",1798,"Thị xã Ayun Pa","3810",3,3
207,"Gia Lai",1797,"Huyện Phú Thiện","3816",3,3
207,"Gia Lai",1796,"Huyện Chư Sê","3809",3,3
207,"Gia Lai",1795,"Huyện Chư Prông","3808",3,3
207,"Gia Lai",1794,"Huyện Đức Cơ","3807",3,3
207,"Gia Lai",1793,"Huyện Ia Grai","3812",2,3
241,"Đắk Nông",1792,"Huyện Đắk Mil","6303",3,3
241,"Đắk Nông",1791,"Huyện Đắk Glong","6307",3,3
241,"Đắk Nông",1790,"Huyện Đắk R lấp","6302",3,3
210,"Đắk Lắk",1789,"Huyện Krông Bông","4011",3,3
210,"Đắk Lắk",1788,"Thị xã Buôn Hồ","4015",3,3
210,"Đắk Lắk",1787,"Huyện Krông Năng","4004",3,3
210,"Đắk Lắk",1786,"Huyện Ea H leo","4002",3,3
210,"Đắk Lắk",1785,"Huyện Cư M gar","4006",2,3
210,"Đắk Lắk",1784,"Huyện Buôn Ðôn","4013",3,3
252,"Cà Mau",1783,"Huyện Năm Căn","6108",3,3
252,"Cà Mau",1782,"Huyện Thới Bình","6102",3,3
258,"Bình Thuận",1781,"Huyện Tuy Phong","4702",3,3
258,"Bình Thuận",1780,"Huyện Bắc Bình","4703",3,3
258,"Bình Thuận",1779,"Huyện Đức Linh","4707",3,3
258,"Bình Thuận",1778,"Thị xã La Gi","4710",3,3
258,"Bình Thuận",1777,"Huyện Hàm Thuận Bắc","4704",2,3
258,"Bình Thuận",1776,"Huyện Hàm Thuận Nam","4705",3,3
239,"Bình Phước",1775,"Thị xã Phước Long","4307",3,3
239,"Bình Phước",1774,"Thị xã Bình Long","4304",3,3
239,"Bình Phước",1773,"Huyện Hớn Quản","4309",3,3
239,"Bình Phước",1772,"Huyện Chơn Thành","4303",3,3
262,"Bình Định",1771,"Huyện Hoài Nhơn","3704",3,3
262,"Bình Định",1770,"Huyện Phù Cát","3706",3,3
262,"Bình Định",1769,"Thị xã An Nhơn","3710",3,3
