ranking,position,position_id,department,no,name,party,start,end,president
1,president,president,white house,1,George Washington,independent,1789-04-30,1797-03-04,
1,president,president,white house,2,John Adams,federalist,1797-03-04,1801-03-04,
1,president,president,white house,3,Thomas Jefferson,democratic-republican,1801-03-04,1809-03-04,
1,president,president,white house,4,James Madison,democratic-republican,1809-03-04,1817-03-04,
1,president,president,white house,5,James Monroe,democratic-republican,1817-03-04,1825-03-04,
1,president,president,white house,6,John Quincy Adams,democratic-republican,1825-03-04,1829-03-04,
1,president,president,white house,7,Andrew Jackson,democratic,1829-03-04,1837-03-04,
1,president,president,white house,8,Martin Van Buren,democratic,1837-03-04,1841-03-04,
1,president,president,white house,9,William Henry Harrison,whig,1841-03-04,1841-04-04,
1,president,president,white house,10,John Tyler,whig,1841-04-04,1845-03-04,
1,president,president,white house,11,James K. Polk,democratic,1845-03-04,1849-03-04,
1,president,president,white house,12,Zachary Taylor,whig,1849-03-04,1850-07-09,
1,president,president,white house,13,Millard Fillmore,whig,1850-07-09,1853-03-04,
1,president,president,white house,14,Franklin Pierce,democratic,1853-03-04,1857-03-04,
1,president,president,white house,15,James Buchanan,democratic,1857-03-04,1861-03-04,
1,president,president,white house,16,Abraham Lincoln,Republican,1861-03-04,1865-04-15,
1,president,president,white house,17,Andrew Johnson,democratic,1865-04-15,1869-03-04,
1,president,president,white house,18,Ulysses S. Grant,republican,1869-03-04,1877-03-04,
1,president,president,white house,19,Rutherford B. Hayes,republican,1877-03-04,1881-03-04,
1,president,president,white house,20,James A. Garfield,republican,1881-03-04,1881-09-19,
1,president,president,white house,21,Chester A. Arthur,republican,1881-09-19,1885-03-04,
1,president,president,white house,22,Grover Cleveland,democratic,1885-03-04,1889-03-04,
1,president,president,white house,23,Benjamin Harrison,republican,1889-03-04,1893-03-04,
1,president,president,white house,24,Grover Cleveland,democratic,1893-03-04,1897-03-04,
1,president,president,white house,25,William McKinley,republican,1897-03-04,1901-09-14,
1,president,president,white house,26,Theodore Roosevelt,republican,1901-09-14,1909-03-04,
1,president,president,white house,27,William Howard Taft,republican,1909-03-04,1913-03-04,
1,president,president,white house,28,Woodrow Wilson,democratic,1913-03-04,1921-03-04,
1,president,president,white house,29,Warren G. Harding,republican,1921-03-04,1923-08-02,
1,president,president,white house,30,Calvin Coolidge,republican,1923-08-02,1929-03-04,
1,president,president,white house,31,Herbert Hoover,republican,1929-03-04,1933-03-04,
1,president,president,white house,32,Franklin D. Roosevelt,democratic,1933-03-04,1945-04-12,
1,president,president,white house,33,Harry S. Truman,democratic,1945-04-12,1953-01-20,
1,president,president,white house,34,Dwight D. Eisenhower,republican,1953-01-20,1961-01-20,
1,president,president,white house,35,John F. Kennedy,democratic,1961-01-20,1963-11-22,
1,president,president,white house,36,Lyndon B. Johnson,democratic,1963-11-22,1969-01-20,
1,president,president,white house,37,Richard Nixon,republican,1969-01-20,1974-08-09,
1,president,president,white house,38,Gerald Ford,republican,1974-08-09,1977-01-20,
1,president,president,white house,39,Jimmy Carter,democratic,1977-01-20,1981-01-20,
1,president,president,white house,40,Ronald Reagan,republican,1981-01-20,1989-01-20,
1,president,president,white house,41,George H. W. Bush,republican,1989-01-20,1993-01-20,
1,president,president,white house,42,Bill Clinton,democratic,1993-01-20,2001-01-20,
1,president,president,white house,43,George W. Bush,republican,2001-01-20,2009-01-20,
1,president,president,white house,44,Barack Obama,democratic,2009-01-20,2017-01-20,
1,president,president,white house,45,Donald Trump,republican,2017-01-20,incumbent,
2,vice president,vice,white house,1,John Adams,federalist,1789-04-21,1797-03-04,George Washington
2,vice president,vice,white house,2,Thomas Jefferson,democratic-republican,1797-03-04,1801-03-04,John Adams
2,vice president,vice,white house,3,Aaron Burr,democratic-republican,1801-03-04,1805-03-04,Thomas Jefferson
2,vice president,vice,white house,4,George Clinton,democratic-republican,1805-03-04,1812-04-20,Thomas Jefferson - James Madison
2,vice president,vice,white house,5,Elbridge Gerry,democratic-republican,1813-03-04,1814-12-23,James Madison
2,vice president,vice,white house,6,Daniel D. Tompkins,democratic-republican,1817-03-04,1825-03-04,James Monroe
2,vice president,vice,white house,7,John C. Calhoun,democratic-republican,1825-03-04,1832-12-28,John Q. Adams - Andrew Jackson
2,vice president,vice,white house,8,Martin Van Buren,democratic,1833-03-04,1837-03-04,Andrew Jackson
2,vice president,vice,white house,9,Richard Mentor Johnson,democratic,1837-03-04,1841-03-04,Martin Van Buren
2,vice president,vice,white house,10,John Tyler,whig,1841-03-04,1841-04-04,William H. Harrison
2,vice president,vice,white house,11,George M. Dallas,democratic,1845-03-04,1849-03-04,James K. Polk
2,vice president,vice,white house,12,Millard Fillmore,whig,1849-03-04,1850-07-09,Zachary Taylor
2,vice president,vice,white house,13,William R. King,democratic,1853-03-04,1853-04-18,Franklin Pierce
2,vice president,vice,white house,14,John C. Breckinridge,democratic,1857-03-04,1861-03-04,James Buchanan
2,vice president,vice,white house,15,Hannibal Hamlin,republican,1861-03-04,1865-03-04,Abraham Lincoln
2,vice president,vice,white house,16,Andrew Johnson,republican,1865-03-04,1865-04-15,Abraham Lincoln
2,vice president,vice,white house,17,Schuyler Colfax,republican,1869-03-04,1873-03-04,Ulysses S. Grant
2,vice president,vice,white house,18,Henry Wilson,republican,1873-03-04,1875-11-22,Ulysses S. Grant
2,vice president,vice,white house,19,William A. Wheeler,republican,1877-03-04,1881-03-04,Rutherford B. Hayes
2,vice president,vice,white house,20,Chester A. Arthur,republican,1881-03-04,1881-09-19,James A. Garfield
2,vice president,vice,white house,21,Thomas A. Hendricks,democratic,1885-03-04,1885-11-25,Grover Cleveland
2,vice president,vice,white house,22,Levi P. Morton,republican,1889-03-04,1893-03-04,Benjamin Harrison
2,vice president,vice,white house,23,Adlai Stevenson I,democratic,1893-03-04,1897-03-04,Grover Cleveland
2,vice president,vice,white house,24,Garret Hobart,republican,1897-03-04,1899-11-21,William McKinley
2,vice president,vice,white house,25,Theodore Roosevelt,republican,1901-03-04,1901-09-14,William McKinley
2,vice president,vice,white house,26,Charles W. Fairbanks,republican,1905-03-04,1909-03-04,Theodore Roosevelt
2,vice president,vice,white house,27,James S. Sherman,republican,1909-03-04,1912-10-30,William H. Taft
2,vice president,vice,white house,28,Thomas R. Marshall,democratic,1913-03-04,1921-03-04,Woodrow Wilson
2,vice president,vice,white house,29,Calvin Coolidge,republican,1921-03-04,1923-08-02,Warren G. Harding
2,vice president,vice,white house,30,Charles G. Dawes,republican,1925-03-04,1929-03-04,Calvin Coolidge
2,vice president,vice,white house,31,Charles Curtis,republican,1929-03-04,1933-03-04,Herbert Hoover
2,vice president,vice,white house,32,John Garner,democratic,1933-03-04,1941-01-20,Franklin D. Roosevelt
2,vice president,vice,white house,33,Henry A. Wallace,democratic,1941-01-20,1945-01-20,Franklin D. Roosevelt
2,vice president,vice,white house,34,Harry S. Truman,democratic,1945-01-20,1945-04-12,Franklin D. Roosevelt
2,vice president,vice,white house,35,Alben W. Barkley,democratic,1949-01-20,1953-01-20,Harry S. Truman
2,vice president,vice,white house,36,Richard Nixon,republican,1953-01-20,1961-01-20,Dwight D. Eisenhower
2,vice president,vice,white house,37,Lyndon B. Johnson,democratic,1961-01-20,1963-11-22,John F. Kennedy
2,vice president,vice,white house,38,Hubert Humphrey,democratic,1965-01-20,1969-01-20,Lyndon B. Johnson
2,vice president,vice,white house,39,Spiro Agnew,republican,1969-01-20,1973-10-10,Richard Nixon
2,vice president,vice,white house,40,Gerald Ford,republican,1973-12-06,1974-08-09,Richard Nixon
2,vice president,vice,white house,41,Nelson Rockefeller,republican,1974-12-19,1977-01-20,Gerald Ford
2,vice president,vice,white house,42,Walter Mondale,democratic,1977-01-20,1981-01-20,Jimmy Carter
2,vice president,vice,white house,43,George H. W. Bush,republican,1981-01-20,1989-01-20,Ronald Reagan
2,vice president,vice,white house,44,Dan Quayle,republican,1989-01-20,1993-01-20,George H. W. Bush
2,vice president,vice,white house,45,Al Gore,democratic,1993-01-20,2001-01-20,Bill Clinton
2,vice president,vice,white house,46,Dick Cheney,republican,2001-01-20,2009-01-20,George W. Bush
2,vice president,vice,white house,47,Joe Biden,democratic,2009-01-20,2017-01-20,Barack Obama
2,vice president,vice,white house,48,Mike Pence,republican,2017-01-20,incumbent,Donald Trump
3,secretary of state,state,department of state,-,John Jay,,,,George Washington
3,secretary of state,state,department of state,1,Thomas Jefferson,,,,George Washington
3,secretary of state,state,department of state,2,Edmund J. Randolph,,,,George Washington
3,secretary of state,state,department of state,3,Timothy Pickering,,,,George Washington - John Adams
3,secretary of state,state,department of state,-,Charles Lee,,,,John Adams
3,secretary of state,state,department of state,4,John Marshall,,,,John Adams
3,secretary of state,state,department of state,-,Levi Lincoln Sr.,,,,Thomas Jefferson
3,secretary of state,state,department of state,5,James Madison,,,,Thomas Jefferson
3,secretary of state,state,department of state,6,Robert Smith,,,,James Madison
3,secretary of state,state,department of state,7,James Monroe,,,,James Madison
3,secretary of state,state,department of state,-,John Graham,,,,James Monroe
3,secretary of state,state,department of state,-,Richard Rush,,,,James Monroe
3,secretary of state,state,department of state,8,John Quincy Adams,,,,James Monroe
3,secretary of state,state,department of state,-,Daniel Brent,,,,John Quincy Adams
3,secretary of state,state,department of state,9,Henry Clay,,,,John Quincy Adams
3,secretary of state,state,department of state,-,James Alexander Hamilton,,,,Andrew Jackson
3,secretary of state,state,department of state,10,Martin Van Buren,,,,Andrew Jackson
3,secretary of state,state,department of state,11,Edward Livingston,,,,Andrew Jackson
3,secretary of state,state,department of state,12,Louis McLane,,,,Andrew Jackson
3,secretary of state,state,department of state,13,John Forsyth,,,,Andrew Jackson - Martin Van Buren
3,secretary of state,state,department of state,-,Jacob L. Martin,,,,William Harrison
3,secretary of state,state,department of state,14,Daniel Webster,,,,William Harrison - John Tyler
3,secretary of state,state,department of state,-,Hugh S. Legaré,,,,John Tyler
3,secretary of state,state,department of state,-,William S. Derrick,,,,John Tyler
3,secretary of state,state,department of state,15,Abel P. Upshur,,,,John Tyler
3,secretary of state,state,department of state,-,John Nelson,,,,John Tyler
3,secretary of state,state,department of state,16,John C. Calhoun,,,,John Tyler
3,secretary of state,state,department of state,17,James Buchanan,,,,James K. Polk
3,secretary of state,state,department of state,18,John M. Clayton,,,,Zachary Taylor - Millard Fillmore
3,secretary of state,state,department of state,19,Daniel Webster,,,,Millard Fillmore
3,secretary of state,state,department of state,-,Charles M. Conrad,,,,Millard Fillmore
3,secretary of state,state,department of state,20,Edward Everett,,,,Millard Fillmore
3,secretary of state,state,department of state,-,William Hunter,,,,Franklin Pierce
3,secretary of state,state,department of state,21,William L. Marcy,,,,Franklin Pierce
3,secretary of state,state,department of state,22,Lewis Cass,,,,James Buchanan
3,secretary of state,state,department of state,-,William Hunter,,,,James Buchanan
3,secretary of state,state,department of state,23,Jeremiah S. Black,,,,James Buchanan
3,secretary of state,state,department of state,24,William H. Seward,,,,Abraham Lincoln - Andrew Johnson
3,secretary of state,state,department of state,25,Elihu B. Washburne,,,,Ulysses S. Grant
3,secretary of state,state,department of state,26,Hamilton Fish,,,,Ulysses S. Grant - Rutherford B. Hayes
3,secretary of state,state,department of state,27,William M. Evarts,,,,Rutherford B. Hayes
3,secretary of state,state,department of state,28,James G. Blaine,,,,James A. Garfield - Chester A. Arthur
3,secretary of state,state,department of state,29,Frederick T. Frelinghuysen,,,,Chester A. Arthur
3,secretary of state,state,department of state,30,Thomas F. Bayard,,,,Grover Cleveland
3,secretary of state,state,department of state,31,James G. Blaine,,,,Benjamin Harrison
3,secretary of state,state,department of state,-,William F. Wharton,,,,Benjamin Harrison
3,secretary of state,state,department of state,32,John W. Foster,,,,Benjamin Harrison
3,secretary of state,state,department of state,-,William F. Wharton,,,,Benjamin Harrison - Grover Cleveland
3,secretary of state,state,department of state,33,Walter Q. Gresham,,,,Grover Cleveland
3,secretary of state,state,department of state,-,Edwin F. Uhl,,,,Grover Cleveland
3,secretary of state,state,department of state,34,Richard Olney,,,,Grover Cleveland
3,secretary of state,state,department of state,35,John Sherman,,,,William McKinley
3,secretary of state,state,department of state,36,William R. Day,,,,William McKinley
3,secretary of state,state,department of state,-,Alvey A. Adee,,,,William McKinley
3,secretary of state,state,department of state,37,John Hay,,,,William McKinley - Theodore Roosevelt
3,secretary of state,state,department of state,-,Francis B. Loomis,,,,Theodore Roosevelt
3,secretary of state,state,department of state,38,Elihu Root,,,,Theodore Roosevelt
3,secretary of state,state,department of state,39,Robert Bacon,,,,Theodore Roosevelt
3,secretary of state,state,department of state,40,Philander C. Knox,,,,William Howard Taft
3,secretary of state,state,department of state,41,William Jennings Bryan,,,,Woodrow Wilson
3,secretary of state,state,department of state,42,Robert Lansing,,,,Woodrow Wilson
3,secretary of state,state,department of state,-,Frank Polk,,,,Woodrow Wilson
3,secretary of state,state,department of state,43,Bainbridge Colby,,,,Woodrow Wilson
3,secretary of state,state,department of state,44,Charles Evans Hughes,,,,Warren G. Harding - Calvin Coolidge
3,secretary of state,state,department of state,45,Frank B. Kellogg,,,,Calvin Coolidge - Herbert Hoover
3,secretary of state,state,department of state,46,Henry L. Stimson,,,,Herbert Hoover
3,secretary of state,state,department of state,47,Cordell Hull,,,,Franklin D. Roosevelt
3,secretary of state,state,department of state,48,Edward Stettinius Jr.,,,,Franklin D. Roosevelt - Harry S. Truman
3,secretary of state,state,department of state,-,Joseph Grew,,,,Harry S. Truman
3,secretary of state,state,department of state,49,James F. Byrnes,,,,Harry S. Truman
3,secretary of state,state,department of state,50,George C. Marshall,,,,Harry S. Truman
3,secretary of state,state,department of state,51,Dean Acheson,,,,Harry S. Truman
3,secretary of state,state,department of state,-,Harrison F. Matthews,,,,Dwight D. Eisenhower
3,secretary of state,state,department of state,52,John Foster Dulles,,,,Dwight D. Eisenhower
3,secretary of state,state,department of state,53,Christian Herter,,,,Dwight D. Eisenhower
3,secretary of state,state,department of state,-,Livingston T. Merchant,,,,John F. Kennedy
3,secretary of state,state,department of state,54,Dean Rusk,,,,John F. Kennedy - Lyndon B. Johnson
3,secretary of state,state,department of state,-,Charles E. Bohlen,,,,Richard Nixon
3,secretary of state,state,department of state,55,William P. Rogers,,,,Richard Nixon
3,secretary of state,state,department of state,-,Kenneth Rush,,,,Richard Nixon
3,secretary of state,state,department of state,56,Henry Kissinger,,,,Richard Nixon - Gerald Ford
3,secretary of state,state,department of state,-,Philip Habib,,,,Jimmy Carter
3,secretary of state,state,department of state,57,Cyrus Vance,,,,Jimmy Carter
3,secretary of state,state,department of state,-,Warren Christopher,,,,Jimmy Carter
3,secretary of state,state,department of state,-,David D. Newsom,,,,Jimmy Carter
3,secretary of state,state,department of state,-,Warren Christopher,,,,Jimmy Carter
3,secretary of state,state,department of state,58,Edmund Muskie,,,,Jimmy Carter
3,secretary of state,state,department of state,59,Alexander Haig,,,,Ronald Reagan
3,secretary of state,state,department of state,-,Walter J. Stoessel Jr.,,,,Ronald Reagan
3,secretary of state,state,department of state,60,George P. Shultz,,,,Ronald Reagan
3,secretary of state,state,department of state,-,Michael Armacost,,,,George H. W. Bush
3,secretary of state,state,department of state,61,James Baker,,,,George H. W. Bush
3,secretary of state,state,department of state,62,Lawrence Eagleburger,,,,George H. W. Bush
3,secretary of state,state,department of state,-,Arnold Kanter,,,,Bill Clinton
3,secretary of state,state,department of state,-,Frank G. Wisner,,,,Bill Clinton
3,secretary of state,state,department of state,63,Warren Christopher,,,,Bill Clinton
3,secretary of state,state,department of state,64,Madeleine Albright,,,,Bill Clinton
3,secretary of state,state,department of state,65,Colin Powell,,,,George W. Bush
3,secretary of state,state,department of state,66,Condoleezza Rice,,,,George W. Bush
3,secretary of state,state,department of state,-,William Joseph Burns,,,,Barack Obama
3,secretary of state,state,department of state,67,Hillary Rodham Clinton,,,,Barack Obama
3,secretary of state,state,department of state,68,John Kerry,,,,Barack Obama
3,secretary of state,state,department of state,-,Tom Shannon,,,,Donald Trump
3,secretary of state,state,department of state,69,Rex Tillerson,,,,Donald Trump
3,secretary of state,state,department of state,-,John J. Sullivan,,,,Donald Trump
3,secretary of state,state,department of state,70,Mike Pompeo,,,,Donald Trump
4,secretary of the treasury,treasury,department of the treasury,1,Alexander Hamilton,federalist,,,George Washington
4,secretary of the treasury,treasury,department of the treasury,2,Oliver Wolcott, Jr.,federalist,,,George Washington - John Adams
4,secretary of the treasury,treasury,department of the treasury,3,Samuel Dexter,federalist,,,John Adams - Thomas Jefferson
4,secretary of the treasury,treasury,department of the treasury,4,Abraham Alfonse Albert Gallatin,democratic-republican,,,Thomas Jefferson - James Madison
4,secretary of the treasury,treasury,department of the treasury,5,George W. Campbell,democratic-republican,,,James Madison
4,secretary of the treasury,treasury,department of the treasury,6,Alexander J. Dallas,democratic-republican,,,James Madison
4,secretary of the treasury,treasury,department of the treasury,-,William Jones,,,,James Madison - James Monroe
4,secretary of the treasury,treasury,department of the treasury,7,William H. Crawford,democratic-republican,,,John Quincy Adams
4,secretary of the treasury,treasury,department of the treasury,8,Richard Rush,federalist,,,Andrew Jackson
4,secretary of the treasury,treasury,department of the treasury,9,Samuel D. Ingham,democratic,,,Andrew Jackson
4,secretary of the treasury,treasury,department of the treasury,10,Louis McLane,democratic,,,Andrew Jackson
4,secretary of the treasury,treasury,department of the treasury,11,William J. Duane,democratic,,,Andrew Jackson
4,secretary of the treasury,treasury,department of the treasury,12,Roger B. Taney,democratic,,,Andrew Jackson
4,secretary of the treasury,treasury,department of the treasury,13,Levi Woodbury,democratic,,,Andrew Jackson - Martin Van Buren
4,secretary of the treasury,treasury,department of the treasury,14,Thomas Ewing,whig,,,William Henry Harrison - John Tyler
4,secretary of the treasury,treasury,department of the treasury,15,Walter Forward,whig,,,John Tyler
4,secretary of the treasury,treasury,department of the treasury,16,John C. Spencer,whig,,,John Tyler
4,secretary of the treasury,treasury,department of the treasury,17,George M. Bibb,democratic,,,John Tyler
4,secretary of the treasury,treasury,department of the treasury,18,Robert J. Walker,democratic,,,James K. Polk
4,secretary of the treasury,treasury,department of the treasury,19,William M. Meredith,whig,,,Zachary Taylor
4,secretary of the treasury,treasury,department of the treasury,20,Thomas Corwin,whig,,,Millard Fillmore
4,secretary of the treasury,treasury,department of the treasury,21,James Guthrie,democratic,,,Franklin Pierce
4,secretary of the treasury,treasury,department of the treasury,22,Howell Cobb,democratic,,,James Buchanan
4,secretary of the treasury,treasury,department of the treasury,23,Philip Francis Thomas,democratic,,,James Buchanan
4,secretary of the treasury,treasury,department of the treasury,24,John Adams Dix,democratic,,,James Buchanan
4,secretary of the treasury,treasury,department of the treasury,25,Salmon P. Chase,republican,,,Abraham Lincoln
4,secretary of the treasury,treasury,department of the treasury,26,William P. Fessenden,republican,,,Abraham Lincoln
4,secretary of the treasury,treasury,department of the treasury,27,Hugh McCulloch,republican,,,Abraham Lincoln - Andrew Johnson
4,secretary of the treasury,treasury,department of the treasury,28,George S. Boutwell,republican,,,Ulysses S. Grant
4,secretary of the treasury,treasury,department of the treasury,29,William Adams Richardson,republican,,,Ulysses S. Grant
4,secretary of the treasury,treasury,department of the treasury,30,Benjamin Bristow,republican,,,Ulysses S. Grant
4,secretary of the treasury,treasury,department of the treasury,31,Lot M. Morrill,republican,,,Ulysses S. Grant
4,secretary of the treasury,treasury,department of the treasury,32,John Sherman,republican,,,Rutherford B. Hayes
4,secretary of the treasury,treasury,department of the treasury,33,William Windom,republican,,,James A. Garfield - Chester A. Arthur
4,secretary of the treasury,treasury,department of the treasury,34,Charles J. Folger,republican,,,Chester A. Arthur
4,secretary of the treasury,treasury,department of the treasury,35,Walter Q. Gresham,republican,,,Chester A. Arthur
4,secretary of the treasury,treasury,department of the treasury,36,Hugh McCulloch,republican,,,Chester A. Arthur
4,secretary of the treasury,treasury,department of the treasury,37,Daniel Manning,democratic,,,Grover Cleveland
4,secretary of the treasury,treasury,department of the treasury,38,Charles S. Fairchild,democratic,,,Grover Cleveland
4,secretary of the treasury,treasury,department of the treasury,39,William Windom,republican,,,Benjamin Harrison
4,secretary of the treasury,treasury,department of the treasury,40,Charles Foster,republican,,,Benjamin Harrison
4,secretary of the treasury,treasury,department of the treasury,41,John G. Carlisle,democratic,,,Grover Cleveland
4,secretary of the treasury,treasury,department of the treasury,42,Lyman J. Gage,republican,,,William McKinley - Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,43,L. M. Shaw,republican,,,Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,44,George B. Cortelyou,republican,,,Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,45,Franklin MacVeagh,republican,,,William Howard Taft
4,secretary of the treasury,treasury,department of the treasury,46,William G. McAdoo,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,47,Carter Glass,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,48,David F. Houston,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,49,Andrew W. Mellon,republican,,,Warren G. Harding - Calvin Coolidge - Herbert Hoover
4,secretary of the treasury,treasury,department of the treasury,50,Ogden L. Mills,republican,,,Herbert Hoover
4,secretary of the treasury,treasury,department of the treasury,51,William H. Woodin,republican,,,Franklin D. Roosevelt
4,secretary of the treasury,treasury,department of the treasury,52,Henry Morgenthau, Jr.,democratic,,,Franklin D. Roosevelt
4,secretary of the treasury,treasury,department of the treasury,53,Fred M. Vinson,democratic,,,Fred M. Vinson
4,secretary of the treasury,treasury,department of the treasury,54,John Wesley Snyder,democratic,,,Fred M. Vinson
4,secretary of the treasury,treasury,department of the treasury,55,George M. Humphrey,republican,,,Dwight D. Eisenhower
4,secretary of the treasury,treasury,department of the treasury,56,Robert B. Anderson,republican,,,Dwight D. Eisenhower
4,secretary of the treasury,treasury,department of the treasury,57,C. Douglas Dillon,republican,,,John F. Kennedy - Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,58,Henry H. Fowler,democratic,,,Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,59,Joseph W. Barr,democratic,,,Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,60,David M. Kennedy,republican,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,61,John Connally,democratic,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,62,George P. Shultz,republican,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,63,William E. Simon,republican,,,Richard Nixon - Gerald Ford
4,secretary of the treasury,treasury,department of the treasury,64,W. Michael Blumenthal,democratic,,,Jimmy Carter
4,secretary of the treasury,treasury,department of the treasury,65,G. William Miller,democratic,,,Jimmy Carter
4,secretary of the treasury,treasury,department of the treasury,66,Donald Regan,republican,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,67,James Baker,republican,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,-,M. Peter McPherson,,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,68,Nicholas F. Brady,republican,,,Ronald Reagan - George H. W. Bush
